file,face,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,AU19,AU20
bills,0,0.38575640320777893,0.1535988599061966,0.6987199187278748,0.24256177246570587,0.11328226327896118,0.0,0.24856685101985931,0.00848732516169548,0.0,0.049914486706256866,0.36702224612236023,0.653302013874054,0.35626155138015747,0.0,0.4315294623374939,0.6526098847389221,0.10568729788064957,0.12460532784461975,0.11647985875606537,0.8331897854804993
arguing,0,0.1645456850528717,0.10257774591445923,0.22303825616836548,0.36326077580451965,0.10049428045749664,0.0,0.18710841238498688,0.0020907630678266287,1.0,0.09345433861017227,0.6429621577262878,0.2815042734146118,0.3370439112186432,1.0,0.5779314041137695,0.7357380390167236,0.06996510922908783,0.08328389376401901,0.13870514929294586,0.0651523768901825
arguing,1,0.3393811285495758,0.12240780889987946,0.8551939129829407,0.4593859910964966,0.06193258985877037,0.0,0.2013929933309555,0.0050669386982917786,0.0,0.010885627940297127,0.13641464710235596,0.5075488686561584,0.469735711812973,0.0,0.3180197477340698,0.4855787456035614,0.004392171744257212,0.20471835136413574,0.8804669976234436,0.05283098667860031
tablet,0,0.30791130661964417,0.1480163335800171,0.6047757267951965,0.29797735810279846,0.08266110718250275,0.0,0.18404236435890198,0.012520589865744114,1.0,0.024110667407512665,0.3372252583503723,0.4870435297489166,0.5754669308662415,0.0,0.41750311851501465,0.5966029167175293,0.11787431687116623,0.21492242813110352,0.3813880681991577,0.3726446330547333
pain,0,0.3770196735858917,0.3581862151622772,0.5740038156509399,0.376766562461853,0.7415338754653931,1.0,0.5742993354797363,0.8795794248580933,0.0,0.8369515538215637,0.4779767096042633,0.1737150102853775,0.4377702474594116,1.0,0.395872563123703,0.4014297425746918,0.6379612684249878,0.2798295021057129,0.10051333159208298,0.8171098232269287
disagreement,0,0.32303714752197266,0.27211007475852966,0.18404394388198853,0.6042247414588928,0.07360842823982239,0.0,0.12120555341243744,0.006033410783857107,1.0,0.023610778152942657,0.19766171276569366,0.5944998264312744,0.48402899503707886,0.0,0.5109391212463379,0.5442839860916138,0.017315033823251724,0.09726880490779877,0.24207070469856262,0.029196742922067642
disagreement,1,0.331540048122406,0.18665637075901031,0.6529797911643982,0.21669884026050568,0.04300674423575401,0.0,0.18674370646476746,0.04031643643975258,0.0,0.018898354843258858,0.16057778894901276,0.3779948353767395,0.2006988823413849,0.0,0.3131316006183624,0.22126907110214233,0.9279933571815491,0.811693012714386,0.06536567211151123,0.13888631761074066
disagreement,2,0.46245041489601135,0.2753167152404785,0.2910781502723694,0.33685797452926636,0.08202013373374939,0.0,0.205814927816391,0.37582701444625854,1.0,0.044205788522958755,0.43002739548683167,0.4199303686618805,0.4426792860031128,1.0,0.6110947132110596,0.1435876339673996,0.9798554182052612,0.5391747355461121,0.1341530978679657,0.03572055697441101
sad-man,0,0.6119315028190613,0.48288974165916443,0.23006874322891235,0.48704421520233154,0.21166512370109558,1.0,0.21875090897083282,0.030436573550105095,1.0,0.2896207869052887,0.37048137187957764,0.13805532455444336,0.439453661441803,0.0,0.3477684557437897,0.6187663674354553,0.7999992370605469,0.4827409088611603,0.022326868027448654,0.4027983844280243
bullied,0,0.2942834496498108,0.10381568223237991,0.6702079176902771,0.4750092327594757,0.1460268646478653,0.0,0.11735396832227707,0.15154381096363068,0.0,0.040144119411706924,0.465210497379303,0.13981042802333832,0.6045292615890503,0.0,0.6117392778396606,0.7698948383331299,0.0395045131444931,0.03907089680433273,0.21628038585186005,0.027357107028365135
bullied,1,0.44445711374282837,0.4159035384654999,0.4379139542579651,0.4911459684371948,0.07050573080778122,0.0,0.11222279071807861,0.00236005918122828,0.0,0.027124647051095963,0.204070046544075,0.4764660596847534,0.4564545154571533,0.0,0.6426899433135986,0.4820755422115326,0.03834337368607521,0.19951482117176056,0.13501682877540588,0.10045088827610016
sad-woman,0,0.6567674875259399,0.5586468577384949,0.24139057099819183,0.3241174817085266,0.07552482187747955,0.0,0.3078675866127014,0.00023596813844051212,1.0,0.02463637851178646,0.12718018889427185,0.45449548959732056,0.4275485575199127,0.0,0.29328081011772156,0.4108033776283264,0.5246840715408325,0.3328160047531128,0.2455747127532959,0.9362373352050781
claws,0,0.30003929138183594,0.08988018333911896,0.9439665675163269,0.34070703387260437,0.7387557029724121,1.0,0.7690523862838745,0.9915434122085571,1.0,0.8922538757324219,0.4060073792934418,0.6755183339118958,0.2231266349554062,1.0,0.3857368230819702,0.01051332987844944,0.999841570854187,0.8972595930099487,0.04171894118189812,0.6812856793403625
by-the-sea,0,0.4039587080478668,0.20130199193954468,0.6987001895904541,0.2556079626083374,0.17738106846809387,0.0,0.41882896423339844,0.0003715346974786371,0.0,0.06351682543754578,0.7324281334877014,0.05496896430850029,0.37300002574920654,1.0,0.5503601431846619,0.6759676933288574,0.5124334692955017,0.33340194821357727,0.28479433059692383,0.45072659850120544
by-the-sea,1,0.6683176159858704,0.13637405633926392,0.7029669880867004,0.28880754113197327,0.09941346198320389,1.0,0.5000544190406799,0.0017435014015063643,1.0,0.05157073587179184,0.2414175271987915,0.6752627491950989,0.3951345980167389,0.0,0.6659283638000488,0.4325948655605316,0.6599707007408142,0.2696250379085541,0.11858672648668289,0.4145113229751587
